date,market,commodity,unit,pricetype,currency,price
2015-05-15,Kisumu,Beans,KG,Wholesale,KES,76.0
2015-06-15,Nairobi,Maize,KG,Wholesale,KES,35.56
2015-06-15,Nairobi,Beans,KG,Wholesale,KES,66.17
2015-06-15,Kisumu,Maize,KG,Wholesale,KES,35.09
2015-06-15,Kisumu,Beans,KG,Wholesale,KES,78.33
2015-07-15,Kisumu,Maize,KG,Wholesale,KES,30.68
2015-08-15,Nairobi,Maize,KG,Wholesale,KES,38.2
2015-08-15,Nairobi,Beans,KG,Wholesale,KES,60.32
2015-08-15,Kisumu,Maize,KG,Wholesale,KES,30.04
2015-09-15,Nairobi,Maize,KG,Wholesale,KES,35.69
2015-09-15,Kisumu,Maize,KG,Wholesale,KES,28.23
2015-09-15,Kisumu,Beans,KG,Wholesale,KES,59.78
2015-10-15,Nairobi,Maize,KG,Wholesale,KES,33.18
2015-10-15,Kisumu,Maize,KG,Wholesale,KES,28.77
2015-11-15,Kisumu,Maize,KG,Wholesale,KES,30.68
2015-11-15,Kisumu,Beans,KG,Wholesale,KES,71.58
2015-12-15,Nairobi,Maize,KG,Wholesale,KES,31.77
2015-12-15,Kisumu,Maize,KG,Wholesale,KES,31.12
2015-12-15,Kisumu,Beans,KG,Wholesale,KES,71.04
2016-01-15,Nairobi,Maize,KG,Wholesale,KES,31.23
2016-01-15,Kisumu,Maize,KG,Wholesale,KES,29.22
2016-01-15,Kisumu,Beans,KG,Wholesale,KES,70.53
2016-02-15,Kisumu,Maize,KG,Wholesale,KES,30.33
2016-02-15,Kisumu,Beans,KG,Wholesale,KES,70.22
2016-03-15,Nairobi,Maize,KG,Wholesale,KES,30.43
2016-03-15,Kisumu,Maize,KG,Wholesale,KES,30.1
2016-03-15,Kisumu,Beans,KG,Wholesale,KES,69.91
2016-04-15,Nairobi,Maize,KG,Wholesale,KES,31.05
2016-04-15,Kisumu,Maize,KG,Wholesale,KES,30.2
2016-04-15,Kisumu,Beans,KG,Wholesale,KES,70.46
2016-05-15,Nairobi,Maize,KG,Wholesale,KES,30.81
2016-05-15,Kisumu,Maize,KG,Wholesale,KES,32.3
2016-05-15,Kisumu,Beans,KG,Wholesale,KES,70.58
2016-06-15,Kisumu,Maize,KG,Wholesale,KES,35.0
2016-06-15,Kisumu,Beans,KG,Wholesale,KES,65.29
2016-07-15,Kisumu,Maize,KG,Wholesale,KES,34.98
2016-07-15,Kisumu,Beans,KG,Wholesale,KES,64.97
2016-08-15,Kisumu,Maize,KG,Wholesale,KES,34.95
2016-08-15,Kisumu,Beans,KG,Wholesale,KES,64.91
2016-09-15,Nairobi,Maize,KG,Wholesale,KES,30.01
2016-09-15,Kisumu,Maize,KG,Wholesale,KES,35.01
2016-10-15,Kisumu,Maize,KG,Wholesale,KES,34.99
2016-10-15,Kisumu,Beans,KG,Wholesale,KES,59.99
2016-11-15,Nairobi,Maize,KG,Wholesale,KES,32.0
2016-11-15,Kisumu,Maize,KG,Wholesale,KES,35.01
2016-11-15,Kisumu,Beans,KG,Wholesale,KES,62.06
2016-12-15,Nairobi,Maize,KG,Wholesale,KES,31.8
2016-12-15,Kisumu,Maize,KG,Wholesale,KES,34.78
2016-12-15,Kisumu,Beans,KG,Wholesale,KES,62.1
2017-01-15,Nairobi,Maize,KG,Wholesale,KES,31.86
2017-01-15,Kisumu,Maize,KG,Wholesale,KES,39.71
2017-01-15,Kisumu,Beans,KG,Wholesale,KES,72.8
2017-02-15,Kisumu,Maize,KG,Wholesale,KES,41.83
2017-02-15,Kisumu,Beans,KG,Wholesale,KES,75.53
2017-03-15,Nairobi,Maize,KG,Wholesale,KES,44.99
2017-03-15,Kisumu,Maize,KG,Wholesale,KES,49.95
2017-04-15,Nairobi,Maize,KG,Wholesale,KES,45.0
2017-04-15,Kisumu,Maize,KG,Wholesale,KES,53.95
2017-05-15,Nairobi,Maize,KG,Wholesale,KES,49.2
2017-05-15,Kisumu,Maize,KG,Wholesale,KES,59.39
2017-05-15,Kisumu,Beans,KG,Wholesale,KES,85.75
2017-06-15,Kisumu,Maize,KG,Wholesale,KES,60.02
2017-06-15,Kisumu,Beans,KG,Wholesale,KES,74.17
2017-07-15,Nairobi,Maize,KG,Wholesale,KES,54.05
2017-07-15,Kisumu,Maize,KG,Wholesale,KES,48.83
2017-07-15,Kisumu,Beans,KG,Wholesale,KES,72.7
2017-08-15,Kisumu,Maize,KG,Wholesale,KES,41.14
2017-08-15,Kisumu,Beans,KG,Wholesale,KES,70.85
2017-09-15,Nairobi,Beans,KG,Wholesale,KES,63.33
